Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 207   J = 0.66589   Acc_train = 59.6066 %
Iter 208   J = 0.66575   Acc_train = 59.6221 %
Iter 209   J = 0.66561   Acc_train = 59.6319 %
Iter 210   J = 0.66547   Acc_train = 59.6552 %
Iter 211   J = 0.66533   Acc_train = 59.6823 %
Iter 212   J = 0.6652   Acc_train = 59.7037 %
Iter 213   J = 0.66506   Acc_train = 59.7153 %
Iter 214   J = 0.66492   Acc_train = 59.7309 %
Iter 215   J = 0.66478   Acc_train = 59.7445 %
Iter 216   J = 0.66464   Acc_train = 59.7717 %
Iter 217   J = 0.66451   Acc_train = 59.7833 %
Iter 218   J = 0.66437   Acc_train = 59.795 %
Iter 219   J = 0.66423   Acc_train = 59.8144 %
Iter 220   J = 0.66409   Acc_train = 59.8318 %
Iter 221   J = 0.66396   Acc_train = 59.859 %
Iter 222   J = 0.66382   Acc_train = 59.8823 %
Iter 223   J = 0.66368   Acc_train = 59.9076 %
Iter 224   J = 0.66354   Acc_train = 59.9076 %
Iter 225   J = 0.66341   Acc_train = 59.9309 %
Iter 226   J = 0.66327   Acc_train = 59.9386 %
Iter 227   J = 0.66313   Acc_train = 59.9464 %
Iter 228   J = 0.66299   Acc_train = 59.9619 %
Iter 229   J = 0.66286   Acc_train = 59.9619 %
Iter 230   J = 0.66272   Acc_train = 59.9658 %
Iter 231   J = 0.66258   Acc_train = 59.9794 %
Iter 232   J = 0.66245   Acc_train = 59.9833 %
Iter 233   J = 0.66231   Acc_train = 60.0027 %
Iter 234   J = 0.66217   Acc_train = 60.0183 %
Iter 235   J = 0.66203   Acc_train = 60.0241 %
Iter 236   J = 0.6619   Acc_train = 60.0377 %
Iter 237   J = 0.66176   Acc_train = 60.0454 %
Iter 238   J = 0.66162   Acc_train = 60.0551 %
Iter 239   J = 0.66149   Acc_train = 60.059 %
Iter 240   J = 0.66135   Acc_train = 60.0765 %
Iter 241   J = 0.66121   Acc_train = 60.1037 %
Iter 242   J = 0.66108   Acc_train = 60.1056 %
Iter 243   J = 0.66094   Acc_train = 60.1231 %
Iter 244   J = 0.6608   Acc_train = 60.1483 %
Iter 245   J = 0.66067   Acc_train = 60.1522 %
Iter 246   J = 0.66053   Acc_train = 60.1658 %
Iter 247   J = 0.66039   Acc_train = 60.1814 %
Iter 248   J = 0.66026   Acc_train = 60.2066 %
Iter 249   J = 0.66012   Acc_train = 60.2221 %
Iter 250   J = 0.65998   Acc_train = 60.2318 %
Iter 251   J = 0.65985   Acc_train = 60.2377 %
Iter 252   J = 0.65971   Acc_train = 60.2396 %
Iter 253   J = 0.65957   Acc_train = 60.2571 %
Iter 254   J = 0.65944   Acc_train = 60.2881 %
Iter 255   J = 0.6593   Acc_train = 60.3017 %
Iter 256   J = 0.65917   Acc_train = 60.3095 %
Iter 257   J = 0.65903   Acc_train = 60.3076 %
Iter 258   J = 0.65889   Acc_train = 60.327 %
Iter 259   J = 0.65876   Acc_train = 60.3464 %
Iter 260   J = 0.65862   Acc_train = 60.3542 %
Iter 261   J = 0.65849   Acc_train = 60.3678 %
Iter 262   J = 0.65835   Acc_train = 60.3911 %
Iter 263   J = 0.65821   Acc_train = 60.4085 %
Iter 264   J = 0.65808   Acc_train = 60.4085 %
Iter 265   J = 0.65794   Acc_train = 60.4221 %
